img_name,Caption,ANP,Emotion_Categorical,Valence,Arousal,Dominance,Style,Scene_Type,Object_Types,Facial_Expression,Human_Action,Reason_for_Emotion,Average_Color,Primary_Color,Secondary_Color,Brightness,Contrast,image_path
d491d8ba-a9ac-4be4-9ece-bab1e1dea489,A bohemian style advertisement for orange liqueur featuring intricate floral designs and a vintage-inspired bottle resting among orange blossoms and fruits.,"bohemian style, intricate designs, orange liqueur, orange blossoms",Contentment,3,2,3,"bohemian, vintage",still life,"bottle, fruits, flowers",,,"The image evokes contentment due to its warm colors and aesthetically pleasing arrangement of flowers and fruits, creating a sense of harmony and delight.",109:95:66,31:29:19,237:214:169,96.32,82.91,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/d491d8ba-a9ac-4be4-9ece-bab1e1dea489.jpg
7dd4cdfd-d873-4ac2-9a31-530185f14641,"A cute chibi-style baby boy dressed in a top hat and a tuxedo, holding a cane, set against a decorative backdrop with ornate designs.","cute baby, happy expression, chibi style, top hat, holding cane",Amusement,4,2,1,"anime, chibi",indoor,"characters, accessories",happy,standing,"The image evokes amusement due to the charming and playful appearance of the character, which is enhanced by the whimsical attire and setting.",99:82:65,21:20:20,172:126:90,85.27,79.51,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/7dd4cdfd-d873-4ac2-9a31-530185f14641.jpg
b4ca9f57-140e-4730-80cf-7406c460e1d5,"A mischievous fairy is flying above a glowing flower in an enchanted forest, surrounded by magical vegetation and vibrant colors.","mischievous fairy, glowing flower, enchanted forest",Anger,-2,3,1,"children's illustration, magical",outdoor,"fairies, flowers, forest",,,"The fairy's expression and posture suggest a sense of anger, which contrasts with the magical beauty of the environment, creating a compelling emotional tension.",58:62:49,35:37:34,81:93:67,59.83,43.2,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/b4ca9f57-140e-4730-80cf-7406c460e1d5.jpg
9824e05f-3597-45ab-b295-9968dcbab64f,"A beautiful black woman with arms crossed, appearing upset and conveying a sense of anger.","beautiful black woman, angry expression",Anger,-2,3,-1,realistic,indoor,human figure,angry,,The crossed arms and facial expression suggest frustration or displeasure.,51:41:34,33:28:25,101:70:51,43.77,30.08,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/9824e05f-3597-45ab-b295-9968dcbab64f.jpg
7d20cdb6-d686-4910-90d5-693e6d817545,"An Ukiyoe style illustration featuring a pile of spiders with a dark, textured background, showcasing the intricate details of their bodies and legs.","intricate spiders, dark background, textured design",Disgust,-3,3,-2,Ukiyoe,indoor,spiders,,,"The image evokes a feeling of disgust due to the presence of a pile of spiders, which can trigger fear and discomfort in many viewers.",119:108:79,232:207:152,20:17:11,108.81,85.97,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/7d20cdb6-d686-4910-90d5-693e6d817545.jpg
592379a5-2ab0-47f9-af6a-7104a15c40dc,"A vibrant depiction of a small nightclub stage in New York during the 1980s, featuring neon blue and red strip lights, green lasers, and an explosion of white powder alongside lightning bolts, reminiscent of 1980s color film photography with 35mm film grain.","neon lights, grotty stage, green lasers, white powder, lightning bolts",Excitement,2,3,1,"vintage, artistic",indoor,"nightclub elements, neon signs",,,The vibrant colors and energetic atmosphere evoke feelings of excitement associated with nightlife and the lively culture of the 1980s.,49:55:45,27:26:20,21:134:112,52.61,45.31,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/592379a5-2ab0-47f9-af6a-7104a15c40dc.jpg
72528527-52c9-4eff-8012-f4512782632c,"An angry tomato-like creature with limbs and oversized eyes stands in a jungle, wielding a rifle that is pointed forward, surrounded by jungle foliage with a cinematic atmosphere enhanced by volumetric lighting.","angry tomato, jungle atmosphere, volumetric lighting",Anger,-3,3,2,"cinematic, fantasy",outdoor,"creatures, natural landscapes",,,"The image portrays a creature that appears menacing and aggressive, which is likely to evoke feelings of anger.",56:55:45,28:34:31,85:76:60,54.83,41.87,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/72528527-52c9-4eff-8012-f4512782632c.jpg
23306dc2-16ba-4755-8550-e283454d6fbe,"A young couple driving a vintage convertible along a deserted highway, evoking a sense of adventure under the warm glow of the setting sun.","vintage convertible, deserted highway, golden hour",Excitement,3,4,2,"realistic, vintage",outdoor,"cars, natural landscapes",,driving,"The image captures the thrill of a spontaneous road trip, combined with the nostalgia of vintage style, which evokes excitement.",172:133:98,225:214:174,189:133:82,140.99,69.11,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/23306dc2-16ba-4755-8550-e283454d6fbe.jpg
22ce4fb6-0b6b-4c87-8748-627209b3dd43,"A dramatic confrontation between two powerful superheroes, with Superman and Black Adam facing off against each other amidst a chaotic backdrop.","dramatic confrontation, powerful superheroes, chaotic backdrop",Awe,1,3,2,realistic,outdoor,"superheroes, dynamic background",intense,facing each other,The image evokes awe due to the epic nature of the superhero battle and the intense expressions shown.,71:56:40,26:19:13,101:76:52,59.18,59.34,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/22ce4fb6-0b6b-4c87-8748-627209b3dd43.jpg
262c5dcb-05b3-4cdc-9ddd-c1aa18231aab,"An elderly woman, depicted in a Pixar-style, appears frustrated as her hands and arms are tangled in colorful ribbons and bows while attempting to wrap gifts.","frustrated grandma, colorful ribbons, Pixar character",Anger,-1,2,-1,Pixar,indoor,gift wrapping supplies,,,"The tangled ribbons and bows suggest a sense of frustration and challenge in a seemingly simple task, invoking feelings of annoyance.",92:88:88,40:62:71,128:86:84,89.65,53.09,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/262c5dcb-05b3-4cdc-9ddd-c1aa18231aab.jpg
8848bcd9-b325-43bb-aff5-9515974bfebf,A person appears to be in an aggressive stance towards a dog in an outdoor setting.,"aggressive action, outdoor scene",Anger,-2,3,-1,realistic,outdoor,dog,,kicking,The depiction of a violent action towards an animal may evoke feelings of anger due to the perceived mistreatment.,147:140:111,129:127:99,218:207:168,139.31,61.81,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/8848bcd9-b325-43bb-aff5-9515974bfebf.jpg
1e5ed89f-e324-4fac-8148-94a97a6f2b7f,An overhead view of a dead fly depicted in line art on a white background.,"dead fly, white background, overhead view, line art",Disgust,-2,1,-1,"line art, minimalist",indoor,insects,,,"The image evokes disgust due to the representation of a dead fly, which many people find unappealing.",205:205:205,208:208:208,228:228:228,205.31,37.46,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/1e5ed89f-e324-4fac-8148-94a97a6f2b7f.jpg
16aca6b3-b099-4ab2-9bae-1b7a8790baf2,"A giant prehistoric animal with a red body, showcasing an angry expression and large fangs, depicted in a photorealistic style.","prehistoric animal, giant size, angry expression, huge fangs, red body",Anger,-2,3,2,photorealistic,natural,prehistoric animals,,,The image evokes anger due to the ferocious appearance and the aggressive posture of the giant animal.,59:44:40,29:24:25,102:69:60,48.3,41.06,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/16aca6b3-b099-4ab2-9bae-1b7a8790baf2.jpg
4482b89f-5f5e-4519-b42c-39305955918f,A disruptive event at an LA Lakers game where security is removing a middle-aged man from the crowd.,"disruptive event, sports arena, security personnel",Anger,-2,3,-1,realistic,indoor,"people, sports equipment, audience",angry,being escorted,The scene depicts a confrontation which often elicits feelings of anger due to the disruption and conflict.,101:82:60,42:33:35,187:134:32,85.8,63.9,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/4482b89f-5f5e-4519-b42c-39305955918f.jpg
ca9fd5c2-2c70-4fdc-98da-46c51b0daa96,"A surreal landscape depicting a devastated coral reef, with abstract coral formations in vibrant colors juxtaposed against a tranquil ocean backdrop and a dramatic sky.","surreal landscape, devastated corals, vibrant colors, tranquil ocean, dramatic sky",Sad,-3,1,-1,"surreal, abstract",natural,"coral formations, ocean",,,"The image portrays a haunting beauty in the destruction of coral reefs, evoking sadness due to the environmental devastation.",82:69:66,24:32:39,84:77:76,72.99,50.38,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/ca9fd5c2-2c70-4fdc-98da-46c51b0daa96.jpg
3e47e45f-ab32-40bb-90b1-a9b244e586b9,"An illustrated bunny rabbit wearing a colorful tracksuit and sneakers, embodying a hip hop art style with a 90s aesthetic.","colorful tracksuit, hip hop style, 90s aesthetic",Amusement,3,2,1,"illustrative, hip hop, vintage",urban,"animals, clothing",,walking,The whimsical combination of a bunny in urban attire evokes amusement and a playful sense of nostalgia.,188:127:106,226:146:116,47:20:47,143.15,53.92,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/3e47e45f-ab32-40bb-90b1-a9b244e586b9.jpg
db61b545-08cf-42aa-80ae-c140a37a5d40,A spaceship miner frigate engages in mining an asteroid while under attack from an opposing frigate in a dynamic space setting.,"futuristic spaceship, dense asteroid, violent explosion",Fear,-2,3,-1,"photo realistic, 3D",outer space,"spaceships, asteroids",,,The intense action of the attack and the chaotic environment creates a sense of fear and urgency.,41:54:57,55:65:69,17:36:38,51.2,31.08,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/db61b545-08cf-42aa-80ae-c140a37a5d40.jpg
494e1aef-e721-42a0-9d39-26c28fbf4cc1,"Two women are dancing and laughing joyfully in a vibrant outdoor setting, surrounded by vivid colors and atmospheric lighting, creating a cinematic composition.","joyful laughter, dancing movement, vivid colors, atmospheric lighting",Amusement,4,3,2,"photorealistic, cinematic",outdoor,"people, natural scenery",happy,dancing,"The joyful expressions and dynamic actions of the women convey a sense of happiness and amusement, enhanced by the vibrant setting.",70:49:45,24:26:30,96:57:49,55.49,42.42,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/494e1aef-e721-42a0-9d39-26c28fbf4cc1.jpg
7a3a5595-c15f-41cf-ab0d-a208c49bf596,"A beautiful lady with a sad expression sits on top of a tower, watching the planet Earth falling into a black hole, with intricate details and hyper-realistic visuals.","beautiful lady, sad expression, colored hair, smokey eyes, tower, black hole",Sad,-2,1,-1,hyper-realistic,outdoor,"tower, planet, black hole",sad,sitting,The image evokes sadness as it depicts a character observing a catastrophic event—Earth falling into a black hole—leading to a sense of loss and despair.,91:71:74,26:25:41,117:83:84,77.99,62.87,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/7a3a5595-c15f-41cf-ab0d-a208c49bf596.jpg
92320040-dc60-4f58-bc56-374a342a1859,"A small, green character resembling a baby wearing a grey hoodie is holding a basketball in a playful manner, exuding a sense of fun and whimsy.","playful character, big ears, basketball",Amusement,3,2,1,cartoonish,indoor,"basketball, character",,,The image of a cute character like Baby Yoda engaging in a playful action such as holding a basketball evokes joy and amusement.,59:48:37,28:21:17,97:74:56,50.46,43.93,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/92320040-dc60-4f58-bc56-374a342a1859.jpg
2279b4fe-19df-4e82-9efc-450cd9950ccc,A collection of black ink outlines depicting various faces engaged in social interactions on a white background.,"social faces, black outlines, white background",Contentment,2,1,1,illustrative,abstract,faces,,,"The image captures a sense of community and connection through social interactions, which can evoke feelings of contentment.",211:211:211,249:249:249,28:28:28,211.42,77.01,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/2279b4fe-19df-4e82-9efc-450cd9950ccc.jpg
248a7257-a66c-42ed-ab6c-abd3b2562df6,"A whimsical pig with small wings, featuring exaggerated features and a playful expression, rendered in a cartoonish style reminiscent of 'Rick and Morty'.","goofy pig, little wings, exaggerated features",Amusement,3,2,1,"cartoonish, AIGC",indoor,animals,,,"The playful and exaggerated characteristics of the pig create a humorous and light-hearted atmosphere, evoking feelings of amusement.",83:80:70,89:83:72,42:49:43,79.96,44.33,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/248a7257-a66c-42ed-ab6c-abd3b2562df6.jpg
0817718a-0ff0-4637-8745-94455693d6e7,"Baba Yaga walking through a war ravaged city, surrounded by crumbling buildings and a desolate atmosphere.","war-torn city, mysterious figure, haunting atmosphere",Sad,-2,2,1,"dark fantasy, realistic",urban,"buildings, ruins",,,The imagery of destruction evokes a sense of sadness as it reflects loss and desolation.,73:68:59,25:24:23,119:108:89,69.1,68.89,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/0817718a-0ff0-4637-8745-94455693d6e7.jpg
aa040971-62c6-4c4d-a952-aa94b24ee353,"An apostate is submerged in a pile of shimmering gold coins, creating a surreal atmosphere of wealth and despair.","shimmering gold, surreal atmosphere",Sad,-2,1,-1,surreal,indoor,gold coins,,,"The image evokes sadness due to the paradox of wealth represented by the gold coins contrasting with the notion of being an apostate, suggesting a loss or betrayal of values.",77:65:52,29:25:28,108:84:60,67.87,59.95,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/aa040971-62c6-4c4d-a952-aa94b24ee353.jpg
b3411d5e-1871-443f-9791-ea4abc931b7d,"A hyper-realistic gym scene featuring oversized dumbbells that dwarf the individuals present, showcasing a striking contrast in size.","bigger dumbbells, hyper realistic gym, striking contrast",Awe,2,3,1,realistic,indoor,gym equipment,,,The exaggerated size of the dumbbells compared to the individuals creates a sense of awe and amazement at the surrealism of the scene.,60:61:62,34:35:39,82:84:82,61.61,44.76,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/b3411d5e-1871-443f-9791-ea4abc931b7d.jpg
28e47000-1de4-4f8f-bfbd-d9eacb8e3f5e,"A surreal temple constructed entirely of worms, with worm-like figures representing priests, set in a dark and creepy environment.","dark temple, creepy priests, realistic worms",Disgust,-3,3,1,realistic,outdoor,"temple, worms",,,The unsettling imagery of worms as both the structure and the inhabitants evokes feelings of disgust and discomfort.,61:61:60,21:22:23,72:73:71,61.55,62.84,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/28e47000-1de4-4f8f-bfbd-d9eacb8e3f5e.jpg
9bfb50c4-f615-4440-8a76-17ce0b4cc0de,"A traditional depiction of boys engaged in a game resembling soccer, showcasing historical attire and playful interaction.","traditional boys, playful game",Excitement,3,3,2,"traditional, historical",outdoor,"people, sports equipment",,playing,"The image portrays dynamic movement and engagement in play, which evokes feelings of excitement.",161:122:63,216:166:80,124:87:49,127.77,55.33,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/9bfb50c4-f615-4440-8a76-17ce0b4cc0de.jpg
2c2a4f23-0512-4b67-90a1-f9a5f3e626d7,"A shadowy black spectre with glowing blue eyes stands against a pale circular background, evoking a mysterious and whimsical atmosphere suitable for a children's book.","shadowy spectre, glowing eyes, pale background",Fear,-2,2,-1,"illustrative, whimsical",indoor,"spectre, background elements",,,"The image portrays a ghostly figure that might evoke fear or curiosity, typical of themes found in children's stories.",41:44:37,11:12:11,51:64:58,42.61,55.54,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/2c2a4f23-0512-4b67-90a1-f9a5f3e626d7.jpg
dc19c32e-3cbc-43ca-aefa-06492748d633,"A solitary vintage school desk stands in an empty room, illuminated by dramatic light and surrounded by dust and smoke, evoking a sense of nostalgia and isolation.","vintage desk, empty room, dramatic shadows, dusty atmosphere",Sad,-2,1,-1,"realistic, vintage",indoor,furniture,,,"The empty setting and the vintage nature of the desk evoke feelings of nostalgia and loneliness, suggesting a past that has been forgotten.",74:69:62,27:26:23,96:89:80,70.45,57.65,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/dc19c32e-3cbc-43ca-aefa-06492748d633.jpg
8eda78dd-aa3f-43d8-b23c-c2c48d42aa12,"A man engaged in selling his hobbies on a blog, surrounded by various gadgets and accessories.","hyper realistic, detailed environment, creative workspace",Contentment,3,2,3,hyper realistic,indoor,"computers, cameras, gadgets",,,"The scene conveys a sense of satisfaction and engagement in a personal project, fostering feelings of contentment.",61:56:49,35:31:27,91:85:74,57.22,48.51,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/8eda78dd-aa3f-43d8-b23c-c2c48d42aa12.jpg
34232829-a511-4e2b-b531-7b40ee51bff0,"A waist-up portrait of a woman with a confident and flirty demeanor, wearing thin clothing and showcasing her athletic physique against a natural background.","beautiful Puerto Rican girl, smooth tan skin, pouty lips, flirty smile, emerald eyes",Excitement,3,3,1,"realistic, vintage",outdoor,natural landscapes,flirty,,"The image elicits excitement due to the subject's attractive features and confident expression, creating a lively and engaging atmosphere.",141:120:89,60:50:18,171:132:88,123.5,76.49,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/34232829-a511-4e2b-b531-7b40ee51bff0.jpg
be51feeb-3ce6-48f0-8c7b-6a4c77aa95a9,"A desolate battlefield during World War III, depicted with dark, swirling smoke and looming tanks, illustrating the chaos and destruction of war.","chaotic battlefield, dark smoke, looming tanks",Fear,-3,3,-2,oil painting,outdoor,"tanks, soldiers",,,"The image evokes fear due to its portrayal of chaos, destruction, and the ominous atmosphere typical of war scenarios.",88:68:53,27:17:20,116:85:62,72.92,68.24,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/be51feeb-3ce6-48f0-8c7b-6a4c77aa95a9.jpg
2251060c-7a52-4c44-a89c-f7c98cbc106c,"A red fox dressed in a suit, elegantly tipping its top hat, set against a blurred background that hints at a whimsical forest atmosphere.","elegant fox, whimsical background, colorful suit",Amusement,3,2,1,"fantasy, whimsical",natural,"fox, suit, top hat",,,"The image evokes amusement due to its playful anthropomorphism of a fox, creating a delightful and humorous visual.",70:55:43,34:29:25,102:69:49,58.86,44.09,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/2251060c-7a52-4c44-a89c-f7c98cbc106c.jpg
13cc6e83-6445-429d-bbf0-044aac4a1b69,A monkey wearing a tattered vest playing an accordion.,"tattered vest, playing accordion",Amusement,3,2,1,"whimsical, vintage",indoor,"animals, musical instruments",,,"The scene is amusing due to the unusual combination of a monkey playing an accordion while dressed in a vest, which creates a lighthearted and entertaining atmosphere.",111:95:73,30:21:15,204:186:148,97.34,73.39,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/13cc6e83-6445-429d-bbf0-044aac4a1b69.jpg
04ff6cf0-0d9c-4360-9a3f-981ed74288f3,"A fierce roaring lion captured in a close-up headshot, showcasing intricate details and dramatic lighting in black and white.","aggressive lion, dramatic lighting, photorealistic image",Anger,-2,4,3,"photorealistic, cinematic",natural,animals,,,"The image evokes anger due to the lion's aggressive roaring expression and intense gaze, which can instill a sense of awe and respect for its power.",49:49:48,23:23:22,73:73:71,49.18,41.79,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/04ff6cf0-0d9c-4360-9a3f-981ed74288f3.jpg
a0b82148-b375-4424-af18-149cb7d615ea,"A haunting scene depicting two figures in an intense struggle, with one figure appearing tormented and exuding a bloody expression while the other reaches in an aggressive manner, set against a backdrop of chaotic, dark energy.","haunting figures, tormented expression, chaotic energy",Fear,-3,4,-2,"hyperdetailed, grimdark",indoor,figures,tormented,struggling,"The violent and horrifying nature of the scene, along with the expressions of terror, evokes a strong sense of fear.",56:45:33,22:14:9,82:68:51,47.23,46.06,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/a0b82148-b375-4424-af18-149cb7d615ea.jpg
7199dfae-ef8e-45c8-9fd8-bfcb4393b7b3,"A dramatic explosion resembling a mushroom cloud rises above the skyline of New York City, emitting fiery colors against a dark sky, evoking a cinematic atmosphere reminiscent of the movie 'Arrival'.","dramatic explosion, fiery colors, dark sky, city skyline",Fear,-2,4,-1,"cinematic, detailed",urban,"buildings, explosions",,,"The image evokes fear due to the catastrophic explosion above a city, suggesting impending danger and chaos.",70:62:58,32:36:38,103:79:71,64.2,47.29,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/7199dfae-ef8e-45c8-9fd8-bfcb4393b7b3.jpg
084f372d-0e4c-4bde-91fb-d893b9600f40,"A surreal landscape combining a gravel path and a dark, ominous forest under a moody sky.","ominous forest, surreal landscape, moody sky",Sad,-2,1,-1,surreal,outdoor,"natural landscapes, forests",,,"The dark colors and eerie atmosphere evoke a sense of sadness and foreboding, reflecting the themes of the prompt.",70:73:65,36:17:16,71:90:80,71.92,53.46,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/084f372d-0e4c-4bde-91fb-d893b9600f40.jpg
5ec6d30e-01a2-41c9-a2d0-193413b9a287,"This image showcases a brightly colored laser sword toy, designed with a traditional aesthetic and highlighted by a sleek, transparent blade supported by a sturdy hilt and ergonomic handle, all emitting vibrant LED light effects.","bright laser sword, colorful appearance, transparent acrylic blade, sturdy ABS hilt, comfortable rubber handle",Excitement,3,4,2,realistic,indoor,toys,,,"The vivid colors and dynamic light effects of the laser sword evoke a sense of excitement and wonder, appealing to both children and adults.",48:52:50,36:33:30,171:158:151,51.22,44.88,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/5ec6d30e-01a2-41c9-a2d0-193413b9a287.jpg
01a5a090-1644-4522-a2a7-7d3fd31e0e4d,"A creepy corporate figure, a middle-aged male, depicted with extremely fit physique, tan leathery skin, and a huge, unnerving smile in an oil portrait style.","creepy corporate figure, middle-aged male, extremely fit, tan leathery skin, giant smile, oil portrait",Disgust,-2,2,1,"realistic, portrait",indoor,portraits,unnerving smile,,The image evokes disgust due to the exaggerated and creepy aspects of the figure's smile and appearance.,95:90:78,60:66:59,158:115:91,90.48,47.88,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/01a5a090-1644-4522-a2a7-7d3fd31e0e4d.jpg
aff3daa9-6b37-4f52-aaa9-9bcc41b19ae4,"A woman with red hair looks sadly out of a window during a rainy night, with city lights softly illuminating the scene.","sad woman, red hair, rainy night, city lights",Sad,-2,-1,-1,realistic,indoor,"window, city lights",sad,looking out,"The scene evokes sadness due to the rainy weather and the feeling of isolation, as the woman stares out at the bustling city while feeling disconnected.",68:71:54,16:14:12,94:109:84,68.79,71.48,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/aff3daa9-6b37-4f52-aaa9-9bcc41b19ae4.jpg
